proLC3B,ProLC3B_S1,ProLC3B_S2,ProLC3B_S3,,LC3B II,LC3BII_S1,LC3BII_S2,LC3BII_S3,,LC3BII_p62,LC3BII_p62_S1,LC3BII_p62_S2,LC3BII_p62_S3
0,0.0001462,0.0001462,0.0001462,,0,0.0000008,0.0001374,0.0005167,,0,0.1837749,0.1837753,0.1837762
1000,0.3107012,0.262628,0.2680989,,1000,0.2139222,0.1890207,0.1844874,,1000,0.1574851,0.1664952,0.1523315
2000,0.2844186,0.3010873,0.3120998,,2000,0.2210176,0.1883864,0.2052785,,2000,0.1453896,0.1600869,0.1473086
3000,0.312285,0.3551365,0.2902065,,3000,0.2244698,0.1821119,0.2065346,,3000,0.1989528,0.171657,0.1926338
4000,0.3134647,0.2800351,0.3091743,,4000,0.2170848,0.1708952,0.1933778,,4000,0.2048856,0.1917627,0.2116836
5000,0.302178,0.2816376,0.347265,,5000,0.1986708,0.1886226,0.2559508,,5000,0.2056515,0.1690952,0.236596
6000,0.3357772,0.3021894,0.4244972,,6000,0.2044487,0.1884082,0.2553264,,6000,0.2212908,0.1831572,0.2367036
7000,0.3603379,0.2749421,0.447627,,7000,0.2432966,0.1898525,0.2558339,,7000,0.2008644,0.2079295,0.21099
8000,0.3846824,0.331279,0.410702,,8000,0.2385588,0.1804828,0.2360848,,8000,0.1923638,0.1732053,0.1766814
9000,0.3579271,0.2988115,0.4515345,,9000,0.1954175,0.2349335,0.2309871,,9000,0.203765,0.1948105,0.1984938
10000,0.3486419,0.3329426,0.4116596,,10000,0.2029613,0.2097567,0.243604,,10000,0.1926206,0.1577662,0.2066426
11000,0.3560522,0.3818193,0.4098602,,11000,0.2066477,0.197476,0.250664,,11000,0.2476831,0.1834001,0.1969696
12000,0.3560896,0.3478754,0.4507739,,12000,0.2286004,0.232602,0.2479547,,12000,0.2064666,0.2158628,0.1959006
13000,0.3734603,0.3667323,0.4086091,,13000,0.2498091,0.2584971,0.2830638,,13000,0.1606238,0.2122901,0.2064141
14000,0.4000412,0.3689612,0.5083299,,14000,0.226354,0.2811442,0.2895378,,14000,0.1934098,0.1756811,0.2300362
15000,0.348958,0.3721859,0.441171,,15000,0.256678,0.2870077,0.2758931,,15000,0.185209,0.1811319,0.2316392
