,FRAME        , VOLUME (A^3) , SURF. A. (A^2),Time
1,1,77.375,45.125,0.0
3,3,78.75,47.0,0.0001
5,5,87.25,48.0,0.0002
7,7,83.375,49.75,0.00030000000000000003
9,9,91.875,45.75,0.0004
11,11,93.125,48.0,0.0005
13,13,113.25,59.5,0.0006000000000000001
15,15,89.25,52.5,0.0007000000000000001
17,17,98.0,57.625,0.0008000000000000001
19,19,80.75,51.125,0.0009000000000000002
21,21,76.875,42.75,0.0010000000000000002
23,23,84.0,46.5,0.0011000000000000003
25,25,81.625,51.125,0.0012000000000000003
27,27,77.375,45.125,0.0013000000000000004
29,29,104.25,52.375,0.0014000000000000004
31,31,107.375,50.375,0.0015000000000000005
33,33,80.125,48.375,0.0016000000000000005
35,35,102.25,51.375,0.0017000000000000006
37,37,106.125,54.25,0.0018000000000000006
39,39,79.75,48.0,0.0019000000000000006
41,41,96.25,48.5,0.0020000000000000005
43,43,111.75,53.25,0.0021000000000000003
45,45,88.5,48.5,0.0022
47,47,87.0,44.875,0.0023
49,49,69.625,42.0,0.0024
51,51,93.625,47.0,0.0024999999999999996
53,53,89.25,54.5,0.0025999999999999994
55,55,90.0,51.5,0.0026999999999999993
57,57,86.75,43.0,0.002799999999999999
59,59,90.875,41.5,0.002899999999999999
61,61,116.25,51.75,0.0029999999999999988
63,63,96.25,47.0,0.0030999999999999986
65,65,84.0,45.625,0.0031999999999999984
67,67,80.5,47.125,0.0032999999999999982
69,69,95.875,47.625,0.003399999999999998
71,71,84.875,44.5,0.003499999999999998
73,73,77.0,49.625,0.0035999999999999977
75,75,94.875,48.125,0.0036999999999999976
77,77,69.875,36.75,0.0037999999999999974
79,79,73.5,44.625,0.0038999999999999972
81,81,81.75,43.125,0.0039999999999999975
83,83,64.5,43.75,0.004099999999999998
85,85,84.75,50.5,0.004199999999999998
87,87,69.875,41.5,0.004299999999999998
89,89,69.625,43.625,0.0043999999999999985
91,91,94.375,45.5,0.004499999999999999
93,93,81.375,46.25,0.004599999999999999
95,95,62.5,41.875,0.004699999999999999
97,97,80.625,48.375,0.0048
99,99,79.0,46.75,0.0049
101,101,76.5,44.25,0.005
103,103,73.125,43.875,0.0051
105,105,91.125,50.125,0.005200000000000001
107,107,62.375,45.375,0.005300000000000001
109,109,70.0,37.125,0.005400000000000001
111,111,64.25,39.375,0.005500000000000001
113,113,64.625,40.125,0.005600000000000002
115,115,62.125,34.75,0.005700000000000002
117,117,102.125,50.0,0.005800000000000002
119,119,96.875,49.75,0.0059000000000000025
121,121,82.875,47.25,0.006000000000000003
123,123,61.25,40.125,0.006100000000000003
125,125,82.75,47.875,0.006200000000000003
127,127,74.875,43.0,0.0063000000000000035
129,129,71.0,39.5,0.006400000000000004
131,131,97.875,45.625,0.006500000000000004
133,133,96.125,47.25,0.006600000000000004
135,135,77.875,41.75,0.0067000000000000046
137,137,79.25,42.625,0.006800000000000005
139,139,88.0,44.625,0.006900000000000005
141,141,83.125,43.0,0.007000000000000005
143,143,81.625,44.75,0.007100000000000006
145,145,73.5,45.75,0.007200000000000006
147,147,70.25,41.625,0.007300000000000006
149,149,91.0,48.125,0.007400000000000006
151,151,109.125,52.0,0.007500000000000007
153,153,82.625,49.375,0.007600000000000007
155,155,78.625,43.125,0.007700000000000007
157,157,85.625,46.75,0.0078000000000000074
159,159,75.125,43.375,0.007900000000000008
161,161,75.875,43.5,0.008000000000000007
163,163,89.75,42.625,0.008100000000000007
165,165,69.625,38.375,0.008200000000000006
167,167,78.125,42.375,0.008300000000000005
169,169,68.625,42.875,0.008400000000000005
171,171,76.25,41.25,0.008500000000000004
173,173,82.125,43.375,0.008600000000000003
175,175,87.375,44.25,0.008700000000000003
177,177,83.25,45.75,0.008800000000000002
179,179,86.875,48.25,0.008900000000000002
181,181,79.125,44.25,0.009000000000000001
183,183,92.375,47.0,0.0091
185,185,83.375,40.625,0.0092
187,187,91.5,45.875,0.0093
189,189,88.25,49.25,0.009399999999999999
191,191,81.25,46.75,0.009499999999999998
193,193,98.125,51.5,0.009599999999999997
195,195,89.875,47.875,0.009699999999999997
197,197,77.625,49.375,0.009799999999999996
199,199,80.0,45.0,0.009899999999999996
201,201,75.0,43.75,0.009999999999999995
203,203,100.25,54.75,0.010099999999999994
205,205,73.5,40.625,0.010199999999999994
207,207,79.25,44.625,0.010299999999999993
209,209,37.125,27.0,0.010399999999999993
211,211,38.75,23.875,0.010499999999999992
213,213,35.375,26.5,0.010599999999999991
215,215,85.375,43.75,0.01069999999999999
217,217,92.375,49.0,0.01079999999999999
219,219,83.125,50.375,0.01089999999999999
221,221,77.625,43.0,0.010999999999999989
223,223,68.625,39.25,0.011099999999999988
225,225,81.125,47.625,0.011199999999999988
227,227,78.875,42.5,0.011299999999999987
229,229,80.625,45.25,0.011399999999999987
231,231,64.0,33.375,0.011499999999999986
233,233,79.0,45.5,0.011599999999999985
235,235,78.5,45.75,0.011699999999999985
237,237,78.875,41.875,0.011799999999999984
239,239,90.25,45.125,0.011899999999999984
241,241,98.75,43.75,0.011999999999999983
243,243,76.125,38.75,0.012099999999999982
245,245,71.75,42.0,0.012199999999999982
247,247,75.875,43.25,0.012299999999999981
249,249,82.25,45.625,0.01239999999999998
251,251,62.625,36.375,0.01249999999999998
253,253,92.875,55.75,0.01259999999999998
255,255,81.625,50.125,0.012699999999999979
257,257,92.125,48.5,0.012799999999999978
259,259,57.875,41.25,0.012899999999999977
261,261,66.0,50.625,0.012999999999999977
263,263,80.625,50.625,0.013099999999999976
265,265,62.625,46.0,0.013199999999999976
267,267,80.625,53.75,0.013299999999999975
269,269,80.875,45.5,0.013399999999999974
271,271,79.0,43.75,0.013499999999999974
273,273,90.875,49.625,0.013599999999999973
275,275,84.75,51.375,0.013699999999999973
277,277,94.625,46.75,0.013799999999999972
279,279,66.375,40.25,0.013899999999999971
281,281,90.25,52.875,0.01399999999999997
283,283,81.0,43.75,0.01409999999999997
285,285,90.125,49.5,0.01419999999999997
287,287,97.25,60.375,0.014299999999999969
289,289,98.25,55.0,0.014399999999999968
291,291,77.25,41.75,0.014499999999999968
293,293,63.375,39.875,0.014599999999999967
295,295,38.75,31.875,0.014699999999999967
297,297,116.5,63.75,0.014799999999999966
299,299,76.875,39.375,0.014899999999999965
301,301,89.5,44.25,0.014999999999999965
303,303,76.25,44.375,0.015099999999999964
305,305,76.25,41.0,0.015199999999999964
307,307,75.0,45.625,0.015299999999999963
309,309,67.75,40.875,0.015399999999999962
311,311,74.375,51.625,0.015499999999999962
313,313,77.375,40.5,0.015599999999999961
315,315,65.0,36.25,0.01569999999999996
317,317,87.5,43.75,0.01579999999999996
319,319,64.0,35.0,0.01589999999999996
321,321,84.125,46.75,0.01599999999999996
323,323,81.875,39.625,0.016099999999999958
325,325,79.375,40.875,0.016199999999999957
327,327,59.375,40.125,0.016299999999999957
329,329,77.25,46.75,0.016399999999999956
331,331,81.875,43.0,0.016499999999999956
333,333,79.625,42.5,0.016599999999999955
335,335,67.75,43.5,0.016699999999999954
337,337,67.0,40.875,0.016799999999999954
339,339,71.75,47.5,0.016899999999999953
341,341,58.0,38.875,0.016999999999999953
343,343,72.625,47.125,0.017099999999999952
345,345,78.125,53.75,0.01719999999999995
