,FRAME        , VOLUME (A^3) , SURF. A. (A^2),Time
1,1,62.125,40.875,0.0
2,2,58.625,35.75,0.001
3,3,55.125,36.75,0.002
4,4,49.75,35.75,0.003
5,5,48.25,41.25,0.004
6,6,49.25,37.0,0.005
7,7,67.375,50.375,0.006
8,8,50.375,41.75,0.007
9,9,41.75,29.75,0.008
10,10,60.0,40.5,0.009000000000000001
11,11,42.375,35.75,0.010000000000000002
12,12,59.75,39.375,0.011000000000000003
13,13,36.5,25.0,0.012000000000000004
14,14,38.25,32.625,0.013000000000000005
15,15,94.5,65.375,0.014000000000000005
16,16,45.625,29.375,0.015000000000000006
17,17,60.125,36.625,0.016000000000000007
18,18,60.875,40.0,0.017000000000000008
19,19,25.375,26.375,0.01800000000000001
20,20,50.375,36.75,0.01900000000000001
21,21,69.25,54.25,0.02000000000000001
22,22,43.75,39.375,0.02100000000000001
23,23,56.0,35.625,0.022000000000000013
24,24,94.125,51.25,0.023000000000000013
25,25,71.5,50.625,0.024000000000000014
26,26,83.5,42.0,0.025000000000000015
27,27,51.5,33.0,0.026000000000000016
28,28,61.625,39.5,0.027000000000000017
29,29,80.125,42.75,0.028000000000000018
30,30,64.875,34.25,0.02900000000000002
31,31,56.5,39.125,0.03000000000000002
32,32,64.375,43.625,0.03100000000000002
33,33,73.25,47.125,0.03200000000000002
34,34,88.875,49.625,0.03300000000000002
35,35,63.875,45.75,0.03400000000000002
36,36,87.0,48.5,0.035000000000000024
37,37,88.125,46.25,0.036000000000000025
38,38,126.125,52.25,0.037000000000000026
39,39,37.375,39.125,0.03800000000000003
40,40,38.875,30.25,0.03900000000000003
41,41,71.25,45.625,0.04000000000000003
42,42,66.5,42.875,0.04100000000000003
43,43,86.5,55.625,0.04200000000000003
44,44,57.25,33.375,0.04300000000000003
45,45,37.375,32.5,0.04400000000000003
46,46,56.375,35.375,0.04500000000000003
47,47,47.875,35.875,0.046000000000000034
48,48,30.375,29.375,0.047000000000000035
49,49,81.625,49.25,0.048000000000000036
50,50,40.625,31.0,0.04900000000000004
51,51,57.75,37.25,0.05000000000000004
52,52,38.125,40.375,0.05100000000000004
53,53,27.625,36.125,0.05200000000000004
