,FRAME        , VOLUME (A^3) , SURF. A. (A^2),Time
1,1,91.25,57.125,0.0
3,3,84.375,61.0,0.0001
5,5,47.75,44.375,0.0002
7,7,109.75,59.875,0.00030000000000000003
9,9,71.5,47.25,0.0004
11,11,137.75,63.875,0.0005
13,13,72.25,52.0,0.0006000000000000001
15,15,52.5,44.5,0.0007000000000000001
17,17,76.125,50.125,0.0008000000000000001
19,19,88.625,62.25,0.0009000000000000002
21,21,48.125,40.75,0.0010000000000000002
23,23,99.875,57.75,0.0011000000000000003
25,25,127.0,53.125,0.0012000000000000003
27,27,164.5,62.75,0.0013000000000000004
29,29,109.0,64.875,0.0014000000000000004
31,31,144.75,78.75,0.0015000000000000005
33,33,178.75,80.75,0.0016000000000000005
35,35,64.0,54.0,0.0017000000000000006
37,37,32.75,36.625,0.0018000000000000006
39,39,43.125,53.75,0.0019000000000000006
41,41,47.625,66.75,0.0020000000000000005
43,43,30.875,31.375,0.0021000000000000003
45,45,26.875,39.875,0.0022
47,47,48.25,47.375,0.0023
49,49,58.0,54.25,0.0024
51,51,135.0,64.625,0.0024999999999999996
53,53,50.875,54.0,0.0025999999999999994
55,55,36.875,43.0,0.0026999999999999993
57,57,52.625,49.25,0.002799999999999999
59,59,27.125,32.875,0.002899999999999999
61,61,38.625,36.625,0.0029999999999999988
63,63,57.875,60.25,0.0030999999999999986
65,65,41.125,39.75,0.0031999999999999984
67,67,29.75,34.875,0.0032999999999999982
69,69,87.5,44.875,0.003399999999999998
71,71,85.375,65.0,0.003499999999999998
73,73,86.125,67.375,0.0035999999999999977
75,75,148.125,75.625,0.0036999999999999976
77,77,91.125,47.25,0.0037999999999999974
79,79,94.875,66.5,0.0038999999999999972
81,81,123.625,56.875,0.0039999999999999975
83,83,131.875,65.25,0.004099999999999998
85,85,127.125,59.125,0.004199999999999998
87,87,109.875,61.25,0.004299999999999998
89,89,131.125,70.375,0.0043999999999999985
91,91,106.375,48.0,0.004499999999999999
93,93,122.875,58.0,0.004599999999999999
95,95,122.25,67.25,0.004699999999999999
97,97,112.25,58.625,0.0048
99,99,119.625,56.875,0.0049
101,101,116.75,57.375,0.005
103,103,104.0,49.0,0.0051
105,105,76.875,45.375,0.005200000000000001
107,107,104.875,49.375,0.005300000000000001
109,109,120.25,53.875,0.005400000000000001
